# IPTV 频道列表 - Generated: 2026-09-23 16:07:33 UTC
# 频道总数: 432
# 央视频道,30
# 卫视频道,44
# 上海频道,9
# 云南频道,16
# 内蒙频道,7
# 北京频道,4
# 卫视频道,1
# 吉林频道,5
# 四川频道,18
# 天津频道,2
# 宁夏频道,2
# 安徽频道,18
# 山东频道,12
# 山西频道,2
# 广东频道,13
# 广西频道,3
# 新疆频道,8
# 江苏频道,8
# 江西频道,1
# 河北频道,13
# 河南频道,6
# 浙江频道,31
# 海南频道,1
# 湖北频道,2
# 湖南频道,20
# 甘肃频道,11
# 福建频道,16
# 贵州频道,1
# 辽宁频道,8
# 重庆频道,4
# 陕西频道,8
# 青海频道,1
# 黑龙江频道,3
# 港澳台频道,15
# 文旅频道,9
# 新闻频道,2
# 体育频道,3
# 影视频道,3
# 少儿动漫,3
# 纪录人文,1
# 音乐频道,3
# 生活购物,1
# 其他频道,64

央视频道,#genre#
贵州卫视,http://107.150.60.122/live/gzwshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
青海卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws
黑龙江卫视,http://107.150.60.122/live/hljwshd.m3u8
上海频道,#genre#
七彩戏剧,http://t.061899.xyz/tl/tl.php?id=qcxj
上海外语,http://t.061899.xyz/tl/tl.php?id=shics
上海新闻综合,http://t.061899.xyz/tl/tl.php?id=shxwzh
新纪实,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
普陀山,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
欢笑剧场,http://38.75.136.137:98/gslb/dsdqpub/hxjchd.m3u8?auth=testpub
纪实人文,http://8.138.7.223/tv/shtv.php?id=xjs
纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
都市剧场,http://38.75.136.137:98/gslb/dsdqpub/dsjchd.m3u8?auth=testpub
云南频道,#genre#
丽江古城万古楼遥望玉龙雪山,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
丽江古城大水车,https://gcalic.v.myalicdn.com/gc/ljgcdsc_1/index.m3u8
丽江古城大研花巷观景,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8
云南丽江冰川,https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
云南丽江印象实景,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
云南丽江玉龙雪山,https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8
云南丽江玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
云南丽江蓝月谷,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
云南大理崇圣寺三塔中景,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
云南大理崇圣寺三塔远景,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8
云南娱乐,https://hwapi.yntv.net/62hdvf/q9vs1b.m3u8
云南白沙远眺玉龙雪山,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8
云南都市,https://hwapi.yntv.net/62hdvf/rjwt14.m3u8
易门综合,https://zb-live.ynurl.com/yimen/3b75a2f9-7941-46b7-992d-a9796fbca5fe.m3u8
江苏徐州云龙湖风景区云龙山观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
狮子山鸟瞰丽江古城,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8
内蒙频道,#genre#
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
海南公共,http://nn.7x9d.cn/地方台8563/海南.php?id=ggpd
海南少儿,http://nn.7x9d.cn/地方台8563/海南.php?id=sepd
海南文旅,http://nn.7x9d.cn/地方台8563/海南.php?id=wlpd
海南新闻,http://nn.7x9d.cn/地方台8563/海南.php?id=xwpd
海南自贸,http://nn.7x9d.cn/地方台8563/海南.php?id=jjpd
福建文体,http://8.138.7.223/tv/fjtv1.php?id=fjwt
北京频道,#genre#
BRTV纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
北京科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8
卫视频道,#genre#
优漫卡通,http://t.061899.xyz/tl/tl.php?id=ymkt
吉林频道,#genre#
吉林乡村,https://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
河南乡村,http://1.94.31.214/php/hntv.php?id=hnxc
福建乡村振兴公共,http://8.138.7.223/tv/fjtv1.php?id=fjxc
西安新闻,http://112.46.105.20:8009/hls/28/index.m3u8
西安都市,http://112.46.105.20:8009/hls/29/index.m3u8
四川频道,#genre#
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd
乐山大佛全景,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd
剑阁综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel105549/playlist.m3u8
四川四姑娘山隆珠措,https://gcalic.v.myalicdn.com/gc/sgns02_1/index.m3u8
四川峨眉山云海日出,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
四川峨眉山普贤菩萨铜像,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
四川峨眉山远眺万佛顶,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8
四川峨眉山远眺贡嘎雪山,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
广元公共,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8?zsicd
朝天综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel104601/playlist.m3u8
荥经综合,https://m3u8channel-yj.yunxya.com/nmip-media/channellive/channel101140/playlist.m3u8
都江堰鱼嘴,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
雅安新闻综合,https://play.yunxya.com/channellive/xinwen.m3u8
青川综合,http://qcfile.qcrmt.com/nmip-media/channellive/channel100933/playlist.m3u8
天津频道,#genre#
天津体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjtv5
河北农民,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8?zhebd
宁夏频道,#genre#
普陀电视台,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
通海电视台,https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8
安徽频道,#genre#
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8?zanhd
亳州新闻,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd
六安公共,http://ls.qingting.fm/live/1794199.m3u8
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
安徽池州九华山风景区九华山,https://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8
安徽黟县芦村远眺,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8
安徽黟县西递牌坊,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8
广西国际,http://198.204.228.26/live/gxgj.m3u8
广西玉林大容山莲花山顶,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
河南国际,http://1.94.31.214/php/hntv.php?id=hngj
泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
祁门综合,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd
铜陵新闻综合,https://ls.qingting.fm/live/21303/64k.m3u8
黄山,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
黄山始信新道,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
黄山排云亭,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8
黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8
山东频道,#genre#
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
泰山主峰,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8
泰山十八盘,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8
泰山南天门,https://gcalic.v.myalicdn.com/gc/hkts07_1/index.m3u8
泰山太平岭,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
泰山望人松,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8
泰山白云亭悬崖,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
泰山碧霞祠,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
浙江舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
青岛崂山八水河,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
青岛崂山双福,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
山西频道,#genre#
万荣综合,http://60.222.246.220:19433/hls1.m3u8
太谷新闻综合,https://p2.vzan.com/slowlive/596867413819827251/live.m3u8?zbid=1725814272&tpid=1516989100&type=0
广东频道,#genre#
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
广东大湾区,http://222.128.55.152:9080/live/dwq.m3u8
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东民生,http://38.75.136.137:98/gslb/dsdqpub/gdgg.m3u8?auth=testpub
广东珠江,http://r.jdshipin.com/sE5vO
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
广西频道,#genre#
广西新闻,http://192.151.150.154/live/gxxw.m3u8
广西桂林漓江景区,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
象山综合,http://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
新疆频道,#genre#
伊犁哈萨克,http://110.153.180.106:55555/out_3/index.m3u8?zxinjd
伊犁经济法制,http://110.153.180.106:55555/out_4/index.m3u8?zxinjd
伊犁维吾尔,http://110.153.180.106:55555/out_2/index.m3u8?zxinjd
兵团五师双河新闻综合,http://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8?fbl=
奎屯哈萨克语,http://218.84.12.186:8002/hls/main/playlist.m3u8?zxinjd
奎屯汉语,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd
玛纳斯,http://218.84.127.245:1026/hls/main1/playlist.m3u8?zxinjd
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8?zxinjd,
江苏频道,#genre#
南京玄武湖公园,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8
江苏南京牛首山,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
苏州4k,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
江西频道,#genre#
辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8
河北频道,#genre#
任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
兴隆综合,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8
平泉综合,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8
昌黎综合,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8
清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8
滦平新闻,http://jwplay.hebyun.com.cn/live/LPTV001/1500k/tzwj_video.m3u8
邢台生活,https://jwcdnqx.hebyun.com.cn/live/xtcsshpd/1500k/tzwj_video.m3u8
邢台综合,http://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
邯郸公共,https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8
邯郸公共频道,https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8
邯郸新闻,https://jwcdnqx.hebyun.com.cn/live/hdxwzh/1500k/tzwj_video.m3u8
邯郸科技教育,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8
邯郸科教,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8
河南频道,#genre#
梨园,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=41543190cdf375f1c73207222bb96542&wsTime=1769313549
河南公共,http://1.94.31.214/php/hntv.php?id=hngg
河南梨园,http://1.94.31.214/php/hntv.php?id=hnly
河南法治,http://1.94.31.214/php/hntv.php?id=hmfz
河南都市,http://1.94.31.214/php/hntv.php?id=hnds
睛彩中原,http://1.94.31.214/php/hntv.php?id=jczy
浙江频道,#genre#
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8
云和新闻综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8?zzhed
余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余杭未来E,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed#http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
新昌生活,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
浙江休闲台,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江教育,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江经视,http://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江频道,http://ali-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed?
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8?zzhed
海南频道,#genre#
天涯石,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8
湖北频道,#genre#
武汉文体,http://www.hiliu.myds.me:18088/rtp/239.69.1.147:10518
江夏新闻综合,http://59.175.226.142:280/gb28181/xwzh.m3u8?zhubd
湖南频道,#genre#
1905电影网,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://43.152.224.209/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
功夫电影,https://live.metshop.top/huya/11352941
天元围棋,http://204.12.221.218:8181/3m1080p/gztywq.m3u8
河南电视剧,http://1.94.31.214/php/hntv.php?id=hndsj
湖南张家界天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
湖南张家界宝峰湖,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8
湖南张家界御笔峰,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
湖南张家界水绕四门,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电影,http://php.jdshipin.com:8880/iptv.php
特种兵之火凤凰,https://live.ottiptv.cc/huya/29982636
福建电视剧,http://8.138.7.223/tv/fjtv1.php?id=fjdsj
经典电影,https://txmov2.a.kwimgs.com/bs3/video-hls/5211790793651941963_hlsb.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
甘肃频道,#genre#
嘉峪关综合,http://play.kankanlive.com/live/1720583434627241.m3u8
天祝综合,https://play.kankanlive.com/live/1656487214793905.m3u8
张掖七彩丹霞,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
张掖新闻综合,https://play.kankanlive.com/live/1720583434627241.m3u8
永昌综合,https://play.kankanlive.com/live/1652755738635915.m3u8
渭源新闻,http://play.kankanlive.com/live/1720408280309109.m3u8
甘肃经济,https://satellitepull.cnr.cn/live/wxgshhzs/playlist.m3u8
甘肃都市,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8
白银综合,http://play.kankanlive.com/live/1720408089419110.m3u8
秦安综合,https://play.kankanlive.com/live/1659926941626981.m3u8
西峰综合,https://play.kankanlive.com/live/1683944827526991.m3u8
福建频道,#genre#
三明综合,http://8.138.7.223/tv/fjtv1.php?id=sm1
南平综合,http://8.138.7.223/tv/fjtv1.php?id=np1
厦门鼓浪屿,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
宁德新闻综合,http://8.138.7.223/tv/fjtv1.php?id=nd1
平潭综合,http://8.138.7.223/tv/fjtv1.php?id=pttv
泉州新闻综合,http://8.138.7.223/tv/fjtv1.php?id=qz1
漳州新闻综合,http://8.138.7.223/tv/fjtv1.php?id=zz1
福州新闻综合,http://8.138.7.223/tv/fjtv1.php?id=fz1
福建少儿,http://8.138.7.223/tv/fjtv1.php?id=fjse
福建新闻,http://8.138.7.223/tv/fjtv1.php?id=fjxw
福建旅游,http://8.138.7.223/tv/fjtv1.php?id=fjly
福建武夷山玉女峰,https://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8
福建漳州醉美沙滩翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建综合,http://8.138.7.223/tv/fjtv1.php?id=fjzh
莆田综合,http://8.138.7.223/tv/fjtv1.php?id=pt1
贵州频道,#genre#
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
辽宁频道,#genre#
乌镇西市河,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
六盘山红军长征景区,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8
